Date,Country,Confirmed,Recovered,Deaths
2020-03-18,Afghanistan,22,1,0
2020-03-18,Albania,59,0,2
2020-03-18,Algeria,74,12,7
2020-03-18,Andorra,39,1,0
2020-03-18,Angola,0,0,0
2020-03-18,Antigua and Barbuda,1,0,0
2020-03-18,Argentina,79,3,2
2020-03-18,Armenia,84,1,0
2020-03-18,Australia,568,23,6
2020-03-18,Austria,1646,9,4
2020-03-18,Azerbaijan,28,6,1
2020-03-18,Bahamas,1,0,0
2020-03-18,Bahrain,256,88,1
2020-03-18,Bangladesh,14,3,1
2020-03-18,Barbados,2,0,0
2020-03-18,Belarus,51,5,0
2020-03-18,Belgium,1486,31,14
2020-03-18,Belize,0,0,0
2020-03-18,Benin,2,0,0
2020-03-18,Bhutan,1,0,0
2020-03-18,Bolivia,12,0,0
2020-03-18,Bosnia and Herzegovina,38,2,0
2020-03-18,Botswana,0,0,0
2020-03-18,Brazil,372,2,3
2020-03-18,Brunei,68,0,0
2020-03-18,Bulgaria,92,0,2
2020-03-18,Burkina Faso,20,0,1
2020-03-18,Burma,0,0,0
2020-03-18,Burundi,0,0,0
2020-03-18,Cabo Verde,0,0,0
2020-03-18,Cambodia,35,1,0
2020-03-18,Cameroon,10,0,0
2020-03-18,Canada,657,9,8
2020-03-18,Central African Republic,1,0,0
2020-03-18,Chad,0,0,0
2020-03-18,Chile,238,0,0
2020-03-18,China,81102,69755,3241
2020-03-18,Colombia,93,1,0
2020-03-18,Congo (Brazzaville),1,0,0
2020-03-18,Congo (Kinshasa),4,0,0
2020-03-18,Costa Rica,50,0,0
2020-03-18,Cote d'Ivoire,6,1,0
2020-03-18,Croatia,81,4,0
2020-03-18,Cuba,7,0,1
2020-03-18,Cyprus,49,0,0
2020-03-18,Czechia,464,3,0
2020-03-18,Denmark,1116,1,4
2020-03-18,Diamond Princess,712,325,7
2020-03-18,Djibouti,1,0,0
2020-03-18,Dominica,0,0,0
2020-03-18,Dominican Republic,21,0,1
2020-03-18,Ecuador,111,0,2
2020-03-18,Egypt,196,32,6
2020-03-18,El Salvador,0,0,0
2020-03-18,Equatorial Guinea,4,0,0
2020-03-18,Eritrea,0,0,0
2020-03-18,Estonia,258,1,0
2020-03-18,Eswatini,1,0,0
2020-03-18,Ethiopia,6,0,0
2020-03-18,Fiji,0,0,0
2020-03-18,Finland,336,10,0
2020-03-18,France,9124,12,149
2020-03-18,Gabon,1,0,0
2020-03-18,Gambia,1,0,0
2020-03-18,Georgia,38,1,0
2020-03-18,Germany,12327,105,28
2020-03-18,Ghana,7,0,0
2020-03-18,Greece,418,8,5
2020-03-18,Grenada,0,0,0
2020-03-18,Guatemala,6,0,1
2020-03-18,Guinea,1,0,0
2020-03-18,Guinea-Bissau,0,0,0
2020-03-18,Guyana,7,0,1
2020-03-18,Haiti,0,0,0
2020-03-18,Holy See,1,0,0
2020-03-18,Honduras,9,0,0
2020-03-18,Hungary,58,2,1
2020-03-18,Iceland,250,5,1
2020-03-18,India,156,14,3
2020-03-18,Indonesia,227,11,19
2020-03-18,Iran,17361,5389,1135
2020-03-18,Iraq,164,43,12
2020-03-18,Ireland,292,5,2
2020-03-18,Israel,304,11,0
2020-03-18,Italy,35713,4025,2978
2020-03-18,Jamaica,13,2,0
2020-03-18,Japan,889,144,29
2020-03-18,Jordan,52,1,0
2020-03-18,Kazakhstan,35,0,0
2020-03-18,Kenya,3,0,0
2020-03-18,"Korea, South",8413,1540,84
2020-03-18,Kosovo,0,0,0
2020-03-18,Kuwait,142,15,0
2020-03-18,Kyrgyzstan,3,0,0
2020-03-18,Laos,0,0,0
2020-03-18,Latvia,71,1,0
2020-03-18,Lebanon,133,3,3
2020-03-18,Liberia,2,0,0
2020-03-18,Libya,0,0,0
2020-03-18,Liechtenstein,28,0,0
2020-03-18,Lithuania,27,1,0
2020-03-18,Luxembourg,203,0,2
2020-03-18,MS Zaandam,0,0,0
2020-03-18,Madagascar,0,0,0
2020-03-18,Malawi,0,0,0
2020-03-18,Malaysia,790,60,2
2020-03-18,Maldives,13,0,0
2020-03-18,Mali,0,0,0
2020-03-18,Malta,38,2,0
2020-03-18,Mauritania,1,0,0
2020-03-18,Mauritius,3,0,0
2020-03-18,Mexico,93,4,0
2020-03-18,Moldova,30,1,1
2020-03-18,Monaco,7,0,0
2020-03-18,Mongolia,6,0,0
2020-03-18,Montenegro,2,0,0
2020-03-18,Morocco,49,1,2
2020-03-18,Mozambique,0,0,0
2020-03-18,Namibia,2,0,0
2020-03-18,Nepal,1,1,0
2020-03-18,Netherlands,2058,2,58
2020-03-18,New Zealand,20,0,0
2020-03-18,Nicaragua,0,0,0
2020-03-18,Niger,0,0,0
2020-03-18,Nigeria,8,1,0
2020-03-18,North Macedonia,35,1,0
2020-03-18,Norway,1550,1,6
2020-03-18,Oman,39,12,0
2020-03-18,Pakistan,299,2,0
2020-03-18,Panama,86,0,1
2020-03-18,Papua New Guinea,0,0,0
2020-03-18,Paraguay,11,0,0
2020-03-18,Peru,145,1,0
2020-03-18,Philippines,202,5,19
2020-03-18,Poland,251,13,5
2020-03-18,Portugal,448,3,2
2020-03-18,Qatar,452,4,0
2020-03-18,Romania,260,19,0
2020-03-18,Russia,147,8,0
2020-03-18,Rwanda,8,0,0
2020-03-18,Saint Kitts and Nevis,0,0,0
2020-03-18,Saint Lucia,2,0,0
